REF #,Actual_Gender,Model_Predictions,Model_Probabilities
6667,MALE,MALE,0.5508179433372615
2669,FEMALE,MALE,0.6617147730339866
9554,FEMALE,FEMALE,0.3865241586146261
7299,MALE,MALE,0.9117940838031119
1070,MALE,MALE,0.9872366709064706
8909,MALE,MALE,0.7411723150631147
182,MALE,MALE,0.9620396218688526
1105,MALE,MALE,0.9754930753727657
6570,MALE,FEMALE,0.40784025770117255
6240,FEMALE,FEMALE,0.3377964720133047
4878,MALE,MALE,0.9403376161350167
1992,MALE,MALE,0.7354048706516533
6662,FEMALE,FEMALE,0.3075770809184056
1066,MALE,MALE,0.9906194966550241
10793,MALE,MALE,0.6416795619117073
4284,FEMALE,FEMALE,0.3087943856344475
7195,FEMALE,FEMALE,0.304866261242571
8511,MALE,FEMALE,0.40384444024181404
3948,MALE,MALE,0.8929331276134869
7101,FEMALE,FEMALE,0.31723305862051704
1137,MALE,MALE,0.9940903794881722
3466,MALE,MALE,0.9936755357447368
2714,MALE,MALE,0.920000950420782
5091,FEMALE,FEMALE,0.4140586341768478
11370,FEMALE,FEMALE,0.3630344652294169
9901,MALE,MALE,0.5321872003832763
5191,FEMALE,FEMALE,0.2897376886557471
2632,FEMALE,MALE,0.6259892707431227
4514,MALE,MALE,0.725084566019534
9433,MALE,MALE,0.7555406738514927
264,FEMALE,MALE,0.5802742343349206
8158,FEMALE,FEMALE,0.1898005570546541
650,MALE,MALE,0.9729837066520693
6333,MALE,MALE,0.5797269996157841
5581,FEMALE,FEMALE,0.43667943445221746
9914,FEMALE,FEMALE,0.3707482988252174
7186,MALE,MALE,0.8372259284750788
5982,MALE,MALE,0.8057008951136155
7769,MALE,MALE,0.8936304577845062
5356,FEMALE,FEMALE,0.39406344669546656
4100,MALE,MALE,0.7570712552990996
1607,MALE,MALE,0.9835593430201639
6644,FEMALE,FEMALE,0.32536505547037303
8639,FEMALE,FEMALE,0.21967783134028976
8351,MALE,FEMALE,0.40533137323270446
1009,MALE,MALE,0.9942635900767556
3408,MALE,MALE,0.9281633458498301
9705,MALE,MALE,0.5114774418936165
4619,MALE,MALE,0.9757682880852555
11813,FEMALE,FEMALE,0.44869135126353704
11312,FEMALE,FEMALE,0.43937638346449254
5803,MALE,MALE,0.7218800225935729
7005,MALE,MALE,0.9594989028472188
3016,MALE,MALE,0.6988395040121315
5202,FEMALE,FEMALE,0.3397902685504777
5002,FEMALE,FEMALE,0.23060562705453044
4384,MALE,MALE,0.925190903702919
11793,FEMALE,FEMALE,0.37951837481831996
1907,MALE,MALE,0.989209189778927
11199,FEMALE,FEMALE,0.3560645914768428
2562,MALE,MALE,0.9530327232917696
342,MALE,MALE,0.9873637626509196
6316,MALE,MALE,0.9404067487981053
11671,FEMALE,FEMALE,0.3511390556091644
5956,MALE,MALE,0.7372512424157941
5392,FEMALE,FEMALE,0.39983272488782723
565,MALE,MALE,0.973425907848264
3425,MALE,MALE,0.8651356019115147
6056,MALE,MALE,0.6138330323242285
3178,FEMALE,FEMALE,0.4174019179168303
1237,MALE,MALE,0.9984485038515255
7961,FEMALE,FEMALE,0.2715183410432132
11367,FEMALE,FEMALE,0.34631397115685275
4616,MALE,MALE,0.7215125485548015
10913,FEMALE,FEMALE,0.4352726515176105
599,MALE,MALE,0.955174474904495
8463,MALE,MALE,0.7131480881734744
3547,MALE,MALE,0.9961088000649575
6410,MALE,FEMALE,0.4319550863885792
2042,MALE,MALE,0.9784502955302711
2495,MALE,MALE,0.9399988952390993
9720,FEMALE,FEMALE,0.26399869269573134
9315,FEMALE,FEMALE,0.17515671393578702
3085,FEMALE,MALE,0.7016574233543733
10912,FEMALE,FEMALE,0.399804844591921
10053,MALE,MALE,0.7877490583177026
5129,FEMALE,FEMALE,0.46831268651520197
3517,FEMALE,MALE,0.6434844125126424
10264,MALE,MALE,0.6728156064438237
2945,MALE,MALE,0.8890647999607835
11726,FEMALE,FEMALE,0.1829517734542111
4968,FEMALE,FEMALE,0.38904032639265834
6194,MALE,MALE,0.9438492665438168
109,MALE,MALE,0.9651799836829114
2219,MALE,MALE,0.9839399892082438
2698,MALE,MALE,0.7134353336176972
4382,FEMALE,FEMALE,0.4745312941481816
3850,MALE,MALE,0.6789094154118755
7699,FEMALE,FEMALE,0.23026719835313364
8676,FEMALE,FEMALE,0.13429369011757958
637,MALE,MALE,0.9746219701804175
9336,MALE,MALE,0.6147873601414008
1206,MALE,MALE,0.9956110711107216
9241,FEMALE,FEMALE,0.23705395924749606
6013,FEMALE,FEMALE,0.296911496645571
8831,MALE,MALE,0.711447833388051
10266,MALE,MALE,0.586227222314077
2963,MALE,MALE,0.9176302966108335
2419,MALE,MALE,0.9577800998177767
7671,FEMALE,FEMALE,0.2513501617779413
10572,FEMALE,FEMALE,0.27777331510425507
10045,MALE,MALE,0.7135305491706955
3600,MALE,MALE,0.8391217457483271
1316,MALE,MALE,0.9796865891719497
9782,MALE,MALE,0.61814963078972
7765,FEMALE,MALE,0.5523173867753699
8349,FEMALE,FEMALE,0.2302564551598183
6909,FEMALE,FEMALE,0.2840634449897484
1713,MALE,MALE,0.9955178772850658
11590,FEMALE,FEMALE,0.4429004743824638
8558,MALE,FEMALE,0.40122920634958953
1677,MALE,MALE,0.9767981838113685
3610,FEMALE,MALE,0.6106859872512103
1334,MALE,MALE,0.9817798426610009
720,MALE,MALE,0.9800828925073409
10227,FEMALE,FEMALE,0.25296829835484724
1938,MALE,MALE,0.9959890463898521
649,MALE,MALE,0.9951482951529855
10474,MALE,FEMALE,0.34811805097197096
5357,FEMALE,FEMALE,0.3156638465007605
10202,FEMALE,FEMALE,0.368917935041754
713,MALE,MALE,0.9939351956632052
11634,FEMALE,FEMALE,0.4278867438282101
3655,FEMALE,FEMALE,0.3711383287067093
1042,MALE,MALE,0.9599642544142287
3546,MALE,MALE,0.9912398088006558
10758,FEMALE,FEMALE,0.3504400270234468
5055,MALE,MALE,0.5939513092003239
8470,FEMALE,FEMALE,0.20001824166290255
6515,MALE,MALE,0.5226961317825698
4893,FEMALE,FEMALE,0.24788038743358953
11609,MALE,MALE,0.5205325303245621
3778,MALE,MALE,0.8765547620978958
735,MALE,MALE,0.9853762987619211
50,MALE,MALE,0.9893103448275862
5622,MALE,MALE,0.8350986788845222
6310,MALE,FEMALE,0.4766398588431419
8838,MALE,FEMALE,0.40897470679494086
1634,MALE,MALE,0.976319363535823
3081,MALE,MALE,0.9734425218014724
2166,MALE,MALE,0.9227463764930437
6977,FEMALE,FEMALE,0.26330363384641325
6482,FEMALE,FEMALE,0.3581501031997511
3931,MALE,MALE,0.7998460574085579
943,MALE,MALE,0.9953577908207197
2216,MALE,MALE,0.9718732159765239
7200,MALE,MALE,0.8457464677847162
3829,MALE,MALE,0.937592189486671
10338,FEMALE,FEMALE,0.2593192999755492
3217,MALE,MALE,0.9358210228927065
7285,FEMALE,FEMALE,0.2891646019646668
9326,MALE,MALE,0.7675831924480602
2507,MALE,MALE,0.9495754076251843
3835,FEMALE,FEMALE,0.49395206894754795
11638,FEMALE,FEMALE,0.23654232929093777
980,MALE,MALE,0.9859775029015466
508,MALE,MALE,0.9453647784193364
1095,MALE,MALE,0.9712871686338802
350,MALE,MALE,0.9818647396664636
603,MALE,MALE,0.9871346619283848
9564,FEMALE,FEMALE,0.20471010597781703
9467,FEMALE,FEMALE,0.3342980620480885
4389,MALE,MALE,0.6775159567197144
4161,FEMALE,FEMALE,0.26178239746638227
8780,MALE,MALE,0.8504418330487753
10181,FEMALE,FEMALE,0.4373128468215295
1748,MALE,MALE,0.8143395959996534
7854,FEMALE,FEMALE,0.20719370328741962
1342,MALE,MALE,0.9846939448175214
10557,MALE,MALE,0.6423484092675379
632,MALE,MALE,0.9959520023858943
8776,MALE,MALE,0.840629523228712
8581,FEMALE,FEMALE,0.2717969095899537
9994,MALE,MALE,0.5889729469331094
4477,FEMALE,FEMALE,0.23992731598629255
5175,MALE,MALE,0.900204602019064
4229,MALE,MALE,0.724637857285121
7480,FEMALE,FEMALE,0.31577282984429467
3605,FEMALE,FEMALE,0.4775685930255251
8675,FEMALE,FEMALE,0.28839871217136026
2803,MALE,MALE,0.9381193898792065
1936,MALE,MALE,0.9875340335047307
9752,FEMALE,FEMALE,0.3132109150793457
6752,FEMALE,FEMALE,0.3512465759615213
7447,MALE,FEMALE,0.4864592540525395
4318,MALE,MALE,0.699557665677333
5962,FEMALE,FEMALE,0.3279300607773207
3317,MALE,MALE,0.882600580235396
9221,MALE,MALE,0.8380204577631525
7474,MALE,MALE,0.6339969409590441
131,MALE,MALE,0.9991912972085386
3400,MALE,MALE,0.8996112335789754
4254,FEMALE,MALE,0.6076706788435665
5051,FEMALE,FEMALE,0.21092920219578826
2285,MALE,MALE,0.9890205636494407
1025,MALE,MALE,0.9893337073775768
2831,FEMALE,MALE,0.6767210028369529
1231,MALE,MALE,0.9902951526600569
5596,MALE,MALE,0.9095659177391152
4562,MALE,MALE,0.6866825215340292
9134,MALE,FEMALE,0.406121375329339
3827,MALE,MALE,0.6638832004346567
6143,FEMALE,FEMALE,0.2790221641478009
2567,MALE,MALE,0.9298017613841388
2406,FEMALE,FEMALE,0.45674928782435553
4675,FEMALE,FEMALE,0.3946407756896423
2555,MALE,MALE,0.9752638381104594
9547,FEMALE,FEMALE,0.3974342225547691
10824,FEMALE,FEMALE,0.430427241400781
9619,MALE,MALE,0.5814200413829395
5640,FEMALE,FEMALE,0.4786158046085168
10399,FEMALE,FEMALE,0.2933515082082806
5278,MALE,MALE,0.6680205964482004
4143,FEMALE,FEMALE,0.2838084329871705
1566,MALE,MALE,0.9853515593918728
9988,FEMALE,MALE,0.5059621353871799
7733,MALE,MALE,0.5393725359783133
2959,MALE,MALE,0.9943667635853372
3658,MALE,MALE,0.9162532230334065
9944,FEMALE,MALE,0.5058738222938176
11546,FEMALE,FEMALE,0.30895490125650443
10188,MALE,MALE,0.6636977156051064
9910,FEMALE,FEMALE,0.3140085822696303
6772,MALE,MALE,0.6850281546430537
1501,MALE,MALE,0.9862417414069112
4320,FEMALE,FEMALE,0.3473816905356013
8423,FEMALE,FEMALE,0.20409370586068448
3900,MALE,MALE,0.9441399470300673
10955,FEMALE,FEMALE,0.24967084635579295
10961,FEMALE,FEMALE,0.3832653297062263
1889,MALE,MALE,0.9887339540900543
5750,FEMALE,MALE,0.7205565223423898
899,MALE,MALE,0.9883530399695724
1845,MALE,MALE,0.99557348273923
8559,MALE,MALE,0.7374068055545517
2982,MALE,MALE,0.9174736380908911
1262,MALE,MALE,0.9968420541017082
512,MALE,MALE,0.9666594039843761
3323,MALE,MALE,0.930545126517778
2000,FEMALE,MALE,0.6366380976190311
10483,FEMALE,FEMALE,0.43726872590808097
4051,MALE,MALE,0.7401804029069464
9719,FEMALE,FEMALE,0.3266423111694723
4590,MALE,MALE,0.9117144824563542
2094,FEMALE,FEMALE,0.4541978877071361
6786,MALE,MALE,0.7901371775764169
932,MALE,MALE,0.9964459142006045
9207,MALE,MALE,0.6282295940438886
3065,MALE,MALE,0.9933041271948895
3823,MALE,MALE,0.903115893848965
6525,MALE,MALE,0.7727061282793914
7183,FEMALE,MALE,0.6112851156671213
11225,MALE,FEMALE,0.41028732053714995
5090,MALE,MALE,0.5352975803793523
10326,FEMALE,FEMALE,0.3848766649500241
4644,FEMALE,MALE,0.5453833094433489
3753,MALE,MALE,0.9865425945409518
9468,MALE,MALE,0.6211669584464873
10360,FEMALE,FEMALE,0.2908504091433549
5416,MALE,MALE,0.9160050064850301
9606,FEMALE,FEMALE,0.20862713394265267
1587,MALE,MALE,0.9602606298929827
10638,FEMALE,FEMALE,0.26002510093734665
5434,MALE,MALE,0.8702139276158524
7350,MALE,MALE,0.8552248390746524
4668,FEMALE,FEMALE,0.3449158049418584
5565,FEMALE,FEMALE,0.3331002234615572
7455,FEMALE,FEMALE,0.2550595646679701
8785,FEMALE,FEMALE,0.22159529291365745
1215,MALE,MALE,0.9956249511965757
2752,MALE,MALE,0.918368047402967
906,MALE,MALE,0.9617615693776876
736,MALE,MALE,0.9777508210180623
10501,FEMALE,FEMALE,0.31070125639585866
11099,MALE,FEMALE,0.4449966867494709
3558,MALE,MALE,0.9870829959490607
11239,MALE,MALE,0.6286148477953214
10018,MALE,MALE,0.8135636205470835
8306,FEMALE,FEMALE,0.2787329290606259
7086,FEMALE,FEMALE,0.34155593614628615
10864,FEMALE,FEMALE,0.33352013019364873
831,MALE,MALE,0.979203700720889
2070,MALE,MALE,0.9984370629370629
586,MALE,MALE,0.9991871149683651
1299,MALE,MALE,0.9901990016693415
8371,MALE,MALE,0.6941314414986589
1579,FEMALE,FEMALE,0.4634805751162737
2072,MALE,MALE,0.9885871996397458
136,MALE,MALE,0.9692963252775754
2438,MALE,MALE,0.951912581954365
1160,MALE,MALE,0.9751000002654895
972,MALE,MALE,0.9897670786256327
7861,FEMALE,FEMALE,0.3359902293693986
4222,MALE,MALE,0.9037871634439233
2544,MALE,MALE,0.962930922897065
5605,FEMALE,FEMALE,0.3911582645491263
1948,MALE,MALE,0.994299432748256
3151,MALE,MALE,0.9772011787295866
11442,MALE,MALE,0.742347851086934
10811,MALE,FEMALE,0.34689653336234444
11541,FEMALE,FEMALE,0.2935065325832777
4445,FEMALE,FEMALE,0.3426518052334177
10678,FEMALE,FEMALE,0.3610166972030533
359,MALE,MALE,0.9994514925373135
11868,FEMALE,FEMALE,0.21859466942123892
9205,FEMALE,FEMALE,0.21451983500039692
818,MALE,MALE,0.9858219338016155
8377,MALE,MALE,0.8241976016419982
9647,MALE,MALE,0.7612632678523488
1159,MALE,MALE,0.9883385793975416
7779,MALE,MALE,0.5691229602248706
5257,MALE,MALE,0.6803656996569493
1389,MALE,MALE,0.9961748309790625
8283,MALE,MALE,0.8184763047042257
5790,FEMALE,FEMALE,0.27407978982099174
11376,MALE,FEMALE,0.4972190383222327
2564,MALE,MALE,0.9928471274453681
11435,FEMALE,FEMALE,0.4067973478374647
10609,FEMALE,FEMALE,0.3213166564934302
11580,FEMALE,FEMALE,0.35259750384627736
7399,FEMALE,MALE,0.6540106544793136
1205,MALE,MALE,0.8521119030624312
1961,MALE,MALE,0.9946258253506021
5895,MALE,MALE,0.8543841686822793
10820,FEMALE,FEMALE,0.344618788066216
7300,FEMALE,FEMALE,0.23277703164518404
6638,FEMALE,FEMALE,0.24785468258801033
4489,MALE,MALE,0.6191824295904913
7902,MALE,MALE,0.739299948462319
4242,MALE,MALE,0.9015444771842488
8361,MALE,MALE,0.8120211986552331
6704,FEMALE,FEMALE,0.33300406022583795
5345,MALE,MALE,0.743863120272892
9385,FEMALE,FEMALE,0.18357945748660215
1541,MALE,MALE,0.9975228320841235
8200,FEMALE,FEMALE,0.2401480901969408
1229,MALE,MALE,0.9402936046735433
4631,MALE,MALE,0.8567349176085043
4007,FEMALE,FEMALE,0.3457499751910966
5751,MALE,MALE,0.9191908522168238
